_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2625,29807,346,Kitchen,room,Kitchen,None,EARL BALES PARK SENIOR CENTRE - Kitchen
2626,48205,346,Multipurpose Room,room,Room - C,C,EARL BALES PARK SENIOR CENTRE - Multipurpose Room
2627,3784,347,Outdoor Basketball Court,None,Basketball Court,None,ROYWOOD PARK - Basketball Court
2628,3786,347,Outdoor Tennis Court,None,Outdoor Tennis Court,None,ROYWOOD PARK - Outdoor Tennis Court (  1)
2629,3787,347,Outdoor Tennis Court,None,Outdoor Tennis Court,None,ROYWOOD PARK - Outdoor Tennis Court (  2)
2630,3788,347,Outdoor Tennis Court,None,Outdoor Tennis Court,None,ROYWOOD PARK - Outdoor Tennis Court (  3)
2631,3789,347,Outdoor Tennis Court,None,Outdoor Tennis Court,None,ROYWOOD PARK - Outdoor Tennis Court (  4)
2632,17917,347,Sport Field,sport,Soccer Field - A,A,ROYWOOD PARK - Soccer Field
2633,33903,347,Playground,None,Playground Site,None,ROYWOOD PARK - Playground
2634,2613,348,Drinking Fountain,None,Drinking Fountain Count,None,SORAUREN AVENUE PARK - Drinking Water Source (  1)
2635,2846,348,Dogs Off-Leash Area,None,Off Leash Area,None,SORAUREN AVENUE PARK - Off Leash Area
2636,3708,348,Outdoor Tennis Court,None,Outdoor Tennis Court,None,SORAUREN AVENUE PARK - Outdoor Tennis Court (  1)
2637,3709,348,Outdoor Tennis Court,None,Outdoor Tennis Court,None,SORAUREN AVENUE PARK - Outdoor Tennis Court (  2)
2638,17934,348,Ball Diamond,sport,Baseball Diamond Field - B,B,SORAUREN AVENUE PARK - Ball Diamond Field
2639,17935,348,Sport Field,sport,Soccer Field - B,B,SORAUREN AVENUE PARK - Soccer Field
2640,78261,348,Outdoor Oven,None,Outdoor Oven,None,SORAUREN AVENUE PARK - Bake Oven
2641,78262,348,Bottle Filling Station,None,Water Bottle Filling Count,None,SORAUREN AVENUE PARK - Drinking Water Source (  2)
2642,78262,348,Drinking Fountain,None,Drinking Fountain Count,None,SORAUREN AVENUE PARK - Drinking Water Source (  2)
2643,78263,348,Drinking Fountain,None,Drinking Fountain Count,None,SORAUREN AVENUE PARK - Drinking Water Source (  3)
2644,78264,348,Dog Fountain,None,Dog Fountain Count,None,SORAUREN AVENUE PARK - Drinking Water Source (  4)
2645,2608,349,Drinking Fountain,None,Drinking Fountain Count,None,SPENVALLEY PARK - Drinking Water Source
2646,17936,349,Ball Diamond,sport,Baseball Diamond Field - A,A,SPENVALLEY PARK - Ball Diamond Field
2647,17937,349,Multipurpose Field,None,Multipurpose Field - B,B,SPENVALLEY PARK - Multipurpose Field
2648,33852,349,Playground,None,Playground Site,None,SPENVALLEY PARK - Playground
2649,70662,349,Splash Pad,None,Splash/Spray Pad,None,SPENVALLEY PARK - Splash/Spray Pad
2650,40827,350,Weight/Cardio Room,None,Room-Fitness/Weight,None,CARMINE STEFANO COMMUNITY CENTRE - Fitness Room
2651,40828,350,Weight/Cardio Room,None,Room-Fitness/Weight,None,CARMINE STEFANO COMMUNITY CENTRE - Weight/Cardio Room (  2)
2652,41282,350,Gymnasium,gym,Gymnasium - A,A,CARMINE STEFANO COMMUNITY CENTRE - Gymnasium
2653,47942,350,Multipurpose Room,room,Room - B,B,CARMINE STEFANO COMMUNITY CENTRE - Multipurpose Room (  1)
2654,47943,350,Multipurpose Room,room,Room - B,B,CARMINE STEFANO COMMUNITY CENTRE - Multipurpose Room (  2)
2655,47944,350,Preschool,room,Preschool - C,C,CARMINE STEFANO COMMUNITY CENTRE - Preschool
2656,48153,350,Craft Room,room,Room-Craft - C,C,CARMINE STEFANO COMMUNITY CENTRE - Craft Room
2657,48154,350,Fitness/Dance Studio,None,Room - C,C,CARMINE STEFANO COMMUNITY CENTRE - Fitness/Dance Studio
